A,AtletaID,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,Rodada,SG,Status,ano,avg.A,avg.A.l05,avg.CA,avg.CV.l05,avg.DD,avg.DD.l05,avg.DP,avg.DP.l05,avg.FC,avg.FC.l05,avg.FD,avg.FD.l05,avg.FF,avg.FF.l05,avg.FS,avg.FS.l05,avg.FT,avg.FT.l05,avg.G,avg.G.l05,avg.GC,avg.GC.l05,avg.GS,avg.GS.l05,avg.I,avg.I.l05,avg.PE,avg.PE.l05,avg.PP,avg.PP.l05,avg.Points,avg.RB,avg.RB.l05,avg.SG,avg.SG.l05,avg.last05,away.score.x,dia,home.attack,home.defend,home.score.x,mes,pred.away.score,pred.home.score,risk_points,variable,Target_varPreco,Target_Pontos
0.0,36540,1.0,0.0,Flamengo,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,7.5,7.5,zag,6.11,1.11,2.0,4.0,1.0,Provável,2017,0.00833333333333333,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.375,0.4,0.0666666666666667,0.2,0.175,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00833333333333333,0.0,0.5333333333333329,0.2,0.0,0.0,1.24166666666667,0.375,0.4,0.166666666666667,0.2,1.5,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,2.77330528831974,home.team,-0.47,2.6
0.0,36540,1.0,0.0,Flamengo,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,True,2.6,5.05,zag,5.64,-0.47,2.0,5.0,0.0,Provável,2017,0.008264462809917359,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.371900826446281,0.4,0.0743801652892562,0.4,0.17355371900826402,0.4,0.206611570247934,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917359,0.0,0.537190082644628,0.4,0.0,0.0,1.25289256198347,0.388429752066116,0.8,0.165289256198347,0.2,2.02,0.0,7.0,0.0,0.0,2.0,6.0,0.0,0.0,2.6886799735186,away.team,2.12,10.4
0.0,36540,0.0,0.0,Flamengo,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,True,0.2,5.17,zag,6.25,-1.51,0.0,8.0,0.0,Dúvida,2017,0.0161290322580645,0.2,0.0887096774193548,0.0,0.0,0.0,0.0,0.0,0.370967741935484,0.6,0.0725806451612903,0.4,0.17741935483871,0.6,0.22580645161290305,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00806451612903226,0.0,0.5564516129032261,1.2,0.0,0.0,1.30806451612903,0.403225806451613,1.4,0.161290322580645,0.2,4.14,2.0,18.0,0.0,0.0,2.0,6.0,0.0,0.0,3.71070523395935,away.team,-0.33,-0.8
0.0,36540,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,True,4.0,3.98,zag,6.29,0.37,1.0,16.0,0.0,Dúvida,2017,0.0151515151515152,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.356060606060606,0.0,0.0681818181818182,0.0,0.166666666666667,0.0,0.212121212121212,0.0,0.0075757575757575794,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0075757575757575794,0.0,0.553030303030303,0.8,0.0,0.0,1.2530303030303,0.393939393939394,0.2,0.15151515151515196,0.0,0.8,1.0,22.0,0.0,0.0,2.0,7.0,0.0,0.0,1.31335025369811,home.team,0.31,4.4
1.0,36540,0.0,0.0,Flamengo,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,True,5.9,4.25,zag,6.68,0.39,0.0,17.0,0.0,Provável,2017,0.0225563909774436,0.2,0.0902255639097744,0.0,0.0,0.0,0.0,0.0,0.360902255639098,0.2,0.075187969924812,0.2,0.17293233082706794,0.2,0.210526315789474,0.0,0.0075187969924812,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0075187969924812,0.0,0.556390977443609,1.0,0.0,0.0,1.28796992481203,0.3909774436090229,0.2,0.150375939849624,0.0,1.98,1.0,30.0,0.0,0.0,1.0,7.0,0.0,0.0,2.18176788662569,away.team,-0.03,4.1
0.0,36540,1.0,0.0,Flamengo,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,True,-1.3,3.79,zag,5.72,-0.81,1.0,29.0,0.0,Provável,2017,0.0206896551724138,0.0,0.0896551724137931,0.0,0.0,0.0,0.0,0.0,0.3586206896551721,0.6,0.0689655172413793,0.0,0.16551724137931,0.0,0.206896551724138,0.2,0.00689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00689655172413793,0.0,0.5310344827586211,0.4,0.0,0.0,1.26413793103448,0.4,0.6,0.144827586206897,0.0,0.3,1.0,19.0,0.0,0.0,4.0,10.0,0.0,0.0,2.21733072759919,home.team,0.0,0.0
0.0,36540,1.0,0.0,Flamengo,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,True,10.0,4.31,zag,7.56,1.84,4.0,31.0,1.0,Nulo,2017,0.0204081632653061,0.0,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.360544217687075,0.8,0.0680272108843537,0.0,0.17006802721088402,0.2,0.204081632653061,0.2,0.00680272108843537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00680272108843537,0.0,0.523809523809524,0.4,0.0,0.0,1.31496598639456,0.421768707482993,1.4,0.149659863945578,0.2,2.3,0.0,28.0,0.0,0.0,0.0,10.0,0.0,0.0,3.62780925628677,home.team,0.0,0.0
0.0,36612,1.0,0.0,Palmeiras,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,True,0.6,2.85,lat,7.75,-1.52,2.0,6.0,0.0,Dúvida,2017,0.0901639344262295,0.0,0.10655737704918,0.0,0.0,0.0,0.0,0.0,0.565573770491803,1.0,0.10655737704918,0.0,0.188524590163934,0.0,0.795081967213115,0.4,0.0,0.0,0.0245901639344262,0.0,0.0,0.0,0.0,0.0,0.0819672131147541,0.0,1.23770491803279,0.6,0.0,0.0,2.52950819672131,1.09016393442623,0.6,0.0573770491803279,0.2,0.12,1.0,10.0,0.0,0.0,3.0,6.0,0.0,0.0,2.14592637338749,home.team,-0.62,0.1
0.0,36612,0.0,0.0,Palmeiras,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,True,-0.4,1.77,lat,7.28,-0.47,0.0,7.0,0.0,Dúvida,2017,0.0894308943089431,0.0,0.105691056910569,0.0,0.0,0.0,0.0,0.0,0.569105691056911,0.8,0.105691056910569,0.0,0.18699186991869896,0.0,0.804878048780488,0.8,0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0813008130081301,0.0,1.2520325203252,0.8,0.0,0.0,2.50569105691057,1.08130081300813,0.4,0.0569105691056911,0.0,0.04,0.0,14.0,0.0,0.0,1.0,6.0,0.0,0.0,2.15313724597388,away.team,0.66,4.0
0.0,36612,0.0,0.0,Palmeiras,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,True,3.6,2.23,lat,7.56,0.28,1.0,11.0,1.0,Nulo,2017,0.0866141732283465,0.0,0.102362204724409,0.0,0.0,0.0,0.0,0.0,0.590551181102362,1.2,0.102362204724409,0.0,0.181102362204724,0.0,0.779527559055118,0.4,0.0,0.0,0.0236220472440945,0.0,0.0,0.0,0.0,0.0,0.078740157480315,0.0,1.22834645669291,1.0,0.0,0.0,2.4551181102362203,1.05511811023622,0.2,0.062992125984252,0.2,0.64,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,1.15643129209363,home.team,0.57,5.2
0.0,36612,0.0,0.0,Palmeiras,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,True,-0.8,1.62,lat,6.79,-0.77,0.0,12.0,0.0,Nulo,2017,0.0859375,0.0,0.1015625,0.0,0.0,0.0,0.0,0.0,0.59375,1.2,0.1015625,0.0,0.1796875,0.0,0.7734375,0.0,0.0,0.0,0.0234375,0.0,0.0,0.0,0.0,0.0,0.078125,0.0,1.2265625,0.6,0.0,0.0,2.4296875,1.046875,0.2,0.0625,0.2,0.56,1.0,9.0,0.0,0.0,3.0,7.0,0.0,0.0,1.21197726417986,away.team,-0.31,2.7
